Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chinook,1970,East Fork South Fork Salmon River,0.0,1005.0,1005.0
Chinook,1970,Entiat R,0.0,654.0,654.0
Chinook,1970,Imnaha River,0.0,4431.0,4431.0
Chinook,1970,Lemhi R,0.0,2040.0,2040.0
Chinook,1970,Loon Cr,0.0,321.0,321.0
Chinook,1970,Lostine/Wallowa,0.0,2439.0,2439.0
Chinook,1970,Marsh Cr,0.0,3561.0,3561.0
Chinook,1970,McKenzie R,0.0,11428.0,11428.0
Chinook,1970,Methow R,0.0,5472.0,5472.0
Chinook,1970,Minam River,0.0,2826.0,2826.0
Chinook,1970,Salmon R Lower Mainstem,0.0,867.0,867.0
Chinook,1970,Secesh R,0.0,693.0,693.0
Chinook,1970,South Fork Salmon Mainstem,0.0,3651.0,3651.0
Chinook,1970,Sulphur Cr,0.0,1722.0,1722.0
Chinook,1970,Upper Grande Ronde River,0.0,1254.0,1254.0
Chinook,1970,Upper Salmon River Mainstem,0.0,4110.0,4110.0
Chinook,1970,Valley Cr,0.0,1983.0,1983.0
Chinook,1970,Wenaha River,0.0,8046.0,8046.0
Chinook,1970,Wenatchee R,635.46,8442.54,9078.0
Chinook,1970,Wind R,162.0,0.0,162.0
Chinook,1970,Yankee Fork Salmon R,0.0,1920.0,1920.0
Chinook,1971,Bear Valley Cr,0.0,1593.0,1593.0
Chinook,1971,Big Cr,0.0,474.0,474.0
Chinook,1971,Camas Cr,0.0,648.0,648.0
Chinook,1971,Catherine Creek,0.0,6957.0,6957.0
Chinook,1971,East Fork Salmon River ,0.0,4314.0,4314.0
Chinook,1971,East Fork South Fork Salmon River,0.0,1413.0,1413.0
Chinook,1971,Entiat R,0.0,1272.0,1272.0
Chinook,1971,Imnaha River,0.0,9213.0,9213.0
Chinook,1971,Lemhi R,0.0,2310.0,2310.0
Chinook,1971,Loon Cr,0.0,591.0,591.0
Chinook,1971,Lostine/Wallowa,0.0,2391.0,2391.0
Chinook,1971,Marsh Cr,0.0,2196.0,2196.0
Chinook,1971,McKenzie R,1518.44,12285.56,13804.0
Chinook,1971,Methow R,0.0,4605.0,4605.0
Chinook,1971,Minam River,0.0,1956.0,1956.0
Chinook,1971,Salmon R Lower Mainstem,0.0,1272.0,1272.0
Chinook,1971,Secesh R,0.0,1047.0,1047.0
Chinook,1971,South Fork Salmon Mainstem,0.0,2919.0,2919.0
Chinook,1971,Sulphur Cr,0.0,1074.0,1074.0
Chinook,1971,Upper Grande Ronde River,0.0,1932.0,1932.0
Chinook,1971,Upper Salmon River Mainstem,0.0,4377.0,4377.0
Chinook,1971,Valley Cr,0.0,1926.0,1926.0
Chinook,1971,Wenaha River,0.0,4728.0,4728.0
Chinook,1971,Wenatchee R,0.0,4767.0,4767.0
Chinook,1971,Wind R,5535.0,0.0,5535.0
Chinook,1971,Yankee Fork Salmon R,0.0,882.0,882.0
Chinook,1972,Bear Valley Cr,0.0,2457.0,2457.0
Chinook,1972,Big Cr,0.0,888.0,888.0
Chinook,1972,Camas Cr,0.0,1155.0,1155.0
Chinook,1972,Catherine Creek,0.0,3318.0,3318.0
Chinook,1972,East Fork Salmon River ,0.0,4791.0,4791.0
Chinook,1972,East Fork South Fork Salmon River,0.0,1698.0,1698.0
Chinook,1972,Entiat R,0.0,570.0,570.0
Chinook,1972,Imnaha River,0.0,8457.0,8457.0
Chinook,1972,Lemhi R,0.0,2838.0,2838.0
Chinook,1972,Loon Cr,0.0,1122.0,1122.0
Chinook,1972,Lostine/Wallowa,0.0,3507.0,3507.0
Chinook,1972,Marsh Cr,0.0,2436.0,2436.0
Chinook,1972,McKenzie R,842.46,5084.32,5912.0
Chinook,1972,Methow R,0.0,4932.0,4932.0
Chinook,1972,Minam River,0.0,2613.0,2613.0
Chinook,1972,Salmon R Lower Mainstem,0.0,2385.0,2385.0
Chinook,1972,Secesh R,0.0,972.0,972.0
Chinook,1972,South Fork Salmon Mainstem,0.0,3930.0,3930.0
Chinook,1972,Sulphur Cr,0.0,1314.0,1314.0
Chinook,1972,Upper Grande Ronde River,0.0,1835.0,1835.0
Chinook,1972,Upper Salmon River Mainstem,0.0,9255.0,9255.0
Chinook,1972,Valley Cr,0.0,1803.0,1803.0
Chinook,1972,Wenaha River,0.0,2046.0,2046.0
Chinook,1972,Wenatchee R,0.0,8349.0,8349.0
Chinook,1972,Wind R,3705.0,0.0,3705.0
Chinook,1972,Yankee Fork Salmon R,0.0,2220.0,2220.0
Chinook,1973,Bear Valley Cr,0.0,4320.0,4320.0
Chinook,1973,Big Cr,0.0,1419.0,1419.0
Chinook,1973,Camas Cr,0.0,1653.0,1653.0
Chinook,1973,Catherine Creek,0.0,5565.0,5565.0
Chinook,1973,East Fork Salmon River ,0.0,6189.0,6189.0
Chinook,1973,East Fork South Fork Salmon River,0.0,2094.0,2094.0
Chinook,1973,Entiat R,0.0,2142.0,2142.0
Chinook,1973,Imnaha River,0.0,13089.0,13089.0
Chinook,1973,Lemhi R,0.0,2598.0,2598.0
Chinook,1973,Loon Cr,0.0,582.0,582.0
Chinook,1973,Lostine/Wallowa,0.0,3789.0,3789.0
Chinook,1973,Marsh Cr,0.0,4047.0,4047.0
Chinook,1973,McKenzie R,2095.52,12872.48,14968.0
Chinook,1973,Methow R,0.0,7245.0,7245.0
Chinook,1973,Minam River,0.0,2049.0,2049.0
Chinook,1973,Salmon R Lower Mainstem,0.0,1296.0,1296.0
Chinook,1973,Secesh R,0.0,750.0,750.0
Chinook,1973,South Fork Salmon Mainstem,0.0,4062.0,4062.0
Chinook,1973,Sulphur Cr,0.0,1443.0,1443.0
Chinook,1973,Upper Grande Ronde River,0.0,756.0,756.0
Chinook,1973,Upper Salmon River Mainstem,0.0,5937.0,5937.0
Chinook,1973,Valley Cr,0.0,1647.0,1647.0
Chinook,1973,Wenaha River,0.0,5913.0,5913.0
