Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Steelhead,1987,Sandy R,8562.75,2535.75,11025.0
Steelhead,1987,Santiam R N,2713.7999999999997,15378.199999999999,18092.0
Steelhead,1987,Santiam R S,738.08,9805.92,10544.0
Steelhead,1987,Satus Cr,57.300000000000004,2807.7,2865.0
Steelhead,1987,Skagit R,2780.7000000000003,25026.300000000003,27807.0
Steelhead,1987,Skokomish R,0.0,1638.0,1638.0
Steelhead,1987,Snoqualmie R,0.0,4840.0,4840.0
Steelhead,1987,South Fork John Day River,0.0,5841.0,5841.0
Steelhead,1987,Stillaguamish R,0.0,5676.0,5676.0
Steelhead,1987,Strait of Juan de Fuca Tributaries,0.0,216.0,216.0
Steelhead,1987,Tahuya R,0.0,238.0,238.0
Steelhead,1987,Tolt R,0.0,264.0,264.0
Steelhead,1987,Toppenish Cr,14.940000000000001,732.06,747.0
Steelhead,1987,Touchet R,222.48,1631.52,1854.0
Steelhead,1987,Umatilla R,0.0,8730.0,8730.0
Steelhead,1987,Upper Grande Ronde River,0.0,7590.0,7590.0
Steelhead,1987,Wenatchee River,11187.57,2291.4300000000003,13479.0
Steelhead,1987,White R,0.0,2181.0,2181.0
Steelhead,1987,Yakima R Upper,9.42,461.5799999999999,471.0
Steelhead,1988, ,0.0,33984.0,33984.0
Steelhead,1988,Calapooia R,0.0,1756.0,1756.0
Steelhead,1988,Clackamas R,1621.44,8512.56,10134.0
Steelhead,1988,Deschutes River West Side,646.56,2047.44,2694.0
Steelhead,1988,Dungeness R,0.0,1314.0,1314.0
Steelhead,1988,East Hood Canal,361.62,376.38,738.0
Steelhead,1988,Elwha R,0.0,1497.0,1497.0
Steelhead,1988,Entiat River,702.24,551.76,1254.0
Steelhead,1988,Fifteenmile Creek,0.0,1046.0,1046.0
Steelhead,1988,Green R,546.63,7262.37,7809.0
Steelhead,1988,Imnaha River,0.0,633.0,633.0
Steelhead,1988,John Day Lower Mainstem,0.0,16638.0,16638.0
Steelhead,1988,John Day Upper Mainstem,0.0,12705.0,12705.0
Steelhead,1988,Joseph Creek,0.0,19062.0,19062.0
Steelhead,1988,Lake Washington,0.0,2574.0,2574.0
Steelhead,1988,Methow River,3392.16,1191.8400000000001,4584.0
Steelhead,1988,Middle Fork John Day River,0.0,10413.0,10413.0
Steelhead,1988,Molalla R,3308.4,7719.599999999999,11028.0
Steelhead,1988,Morse Cr,0.0,276.0,276.0
Steelhead,1988,Naches Cr,214.8,2470.2000000000003,2685.0
Steelhead,1988,Nisqually R,238.68,5728.32,5967.0
Steelhead,1988,North Fork John Day,0.0,7809.0,7809.0
Steelhead,1988,Okanogan River,3022.8,412.20000000000005,3435.0
Steelhead,1988,Pilchuck R,0.0,2848.0,2848.0
Steelhead,1988,Port Angeles,143.31,137.69,281.0
Steelhead,1988,Puyallup R,204.71999999999997,4913.28,5118.0
Steelhead,1988,Samish R,0.0,1818.0,1818.0
Steelhead,1988,Sandy R,8152.799999999999,2167.2,10320.0
Steelhead,1988,Santiam R N,1466.3999999999999,8309.6,9776.0
Steelhead,1988,Santiam R S,764.4,11975.599999999999,12740.0
Steelhead,1988,Satus Cr,264.24,3038.76,3303.0
